id,continent,name,col1,col2,col3,col4,col5,col6,col7,col8,,,,
af,sr,Aarau,0.7128933636,0.5090424907,0.7071080799,0.67,0.57,0.3681253723,0.3534756341,0.75,,20,0.23,0.3534756341
dz,sr,Bâle,0.9238805868,0.587786441,0.1950907723,0.49,1,0.9048281785,0.8607432611,1,,35,0.66,0.8607432611
az,sr,Berne,0.7322011115,0.3387386806,0.3826842808,0.27,0.9,0.4679308206,0.5090424907,1,,24,0.34,0.5090424907
am,sr,Bienne,0.573876667,0,0.7071080799,0.3,0.91,0.2181437433,0.6959140891,0.5,,29,0.49,0.6959140891
ao,sr,Délemont,0.8444700218,0.0627906662,0.7071080799,0.49,0,0.1097345667,0.5490239539,0.25,,25,0.37,0.5490239539
ar,sr,Fribourg,0.7140446589,0.2181437433,0.9807859074,0.35,0.84,0.3971487671,0.5490239539,0.5,,25,0.37,0.5490239539
au,sr,Genève,0.7896726824,0.8090182898,0.5555713783,0.32,0.89,1,1,0.75,,47,1,1
at,sr,La Chaux-de-Fonds,0.1926728956,0.0627906662,0.9238805868,0.64,0.65,0.4115152625,0.6959140891,0,,29,0.49,0.6959140891
Lug,sr,Lausanne,0.6187079952,0.4257802222,0.9807859074,0,0.89,0.8270818544,0.9645582229,0.5,,41,0.83,0.9645582229
bb,sr,Lucerne,0.592561579,0.3090176931,0.5555713783,0.5,0.75,0.4115152625,0.5090424907,1,,24,0.34,0.5090424907
bw,sr,Lugano,0,0.6613131328,0.1950907723,0.82,0.34,0.7396324052,0.9354450306,0.75,,39,0.77,0.9354450306
be,sr,Montreux,0.2914643742,0.3971487671,1,0.48,0.78,0.3971487671,0.9988900428,1,,46,0.97,0.9988900428
bd,sr,Neuchâtel,0.8161051197,0.3090176931,0.9238805868,0.33,0.71,0.7501123814,0.7804317164,0.5,,32,0.57,0.7804317164
ba,sr,Saint-Gall,0.3766039696,0.2181437433,0.9238805868,0.83,0.75,0.2181437433,0.6959140891,0.75,,29,0.49,0.6959140891
bo,sr,Schaffhouse,0.8778233231,0.2486904564,0.5555713783,1,0.64,0.5750064241,0.625243889,0.75,,27,0.43,0.625243889
mm,sr,Sion,1,0.3090176931,0.9238805868,0.73,0.31,0.3681253723,0.587786441,0.25,,26,0.4,0.587786441
bj,sr,Thoune,0.5617039608,0.1253335251,0.3826842808,0.9,0.71,0,0,0.75,,12,0,0
sb,sr,Winterthour,0.5779064789,0.3681253723,0.9238805868,0.82,0.85,0.3681253723,0.4679308206,0.25,,23,0.31,0.4679308206
zg,sr,Zoug,0.2741283968,1,0,0.8,0.26,0.587786441,0.7181276014,0.75,,30,0.51,0.7181276014
zu,sr,Zurich,0.7443908832,0.6845483912,0.3826842808,0.46,0.98,0.4954597214,0.7501123814,0.75,,31,0.54,0.7501123814
,,,,,,,,,,,,,,
,,,,,rich_factor = Math.sin( rich_factor * Math.PI/2 ),,,,,,,,,
